id_hogar,tipo_vivienda,material_externo,material_pisos,material_techos,habitaciones,lic_contruccion,asist_construccion,precio_alq,titulo_prop,agua_potable,calidad_agua,nivel_cloro_agua,acceso_agua,horas_agua,dias_agua,horas_agua_parcial
23022,1,1,2,1,5.0,1,1,1800.0,1,1,1,0.8,1,24.0,3.75,9.578947368421053
21947,2,1,2,1,4.0,1,1,1700.0,1,1,2,0.4,1,24.0,3.75,9.578947368421053
9235,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
41089,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
22687,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
22650,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
8777,1,3,5,4,3.0,2,2,100.0,2,1,2,0.1,1,20.88481375358166,3.75,9.578947368421053
40988,1,1,5,1,4.0,3,3,772.6867469879518,1,1,1,0.8,2,20.88481375358166,5.0,24.0
23185,2,1,3,1,2.0,3,3,772.6867469879518,1,1,3,0.0,1,24.0,3.75,9.578947368421053
9596,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
19994,1,1,5,1,2.0,3,3,250.0,1,1,9,0.5158434,1,24.0,3.75,9.578947368421053
22817,2,1,1,1,4.0,1,1,3000.0,1,1,1,0.6,1,24.0,3.75,9.578947368421053
22014,2,1,2,1,4.0,1,3,1200.0,1,1,3,0.0,1,24.0,3.75,9.578947368421053
22568,1,1,1,1,7.0,1,1,772.6867469879518,1,1,1,0.8,1,24.0,3.75,9.578947368421053
9530,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
21036,1,1,5,1,4.0,1,3,772.6867469879518,1,1,2,0.4,1,5.0,3.75,9.578947368421053
8804,1,7,6,4,5.0,2,2,100.0,3,1,1,0.8,1,10.0,3.75,9.578947368421053
41057,4,3,5,4,3.0,2,2,400.0,1,1,1,0.6,1,24.0,3.75,9.578947368421053
21945,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
22684,2,1,1,1,4.0,1,1,772.6867469879518,1,1,1,0.6,1,24.0,3.75,9.578947368421053
41114,1,1,2,1,4.0,1,1,2400.0,1,1,9,0.5158434,1,24.0,3.75,9.578947368421053
8625,1,1,3,1,4.0,1,1,500.0,1,1,2,0.4,1,8.0,3.75,9.578947368421053
21215,1,1,5,5,4.0,2,2,100.0,1,1,1,0.8,1,24.0,3.75,9.578947368421053
22623,2,1,1,1,3.0,1,1,250.0,1,1,2,0.4,1,24.0,3.75,9.578947368421053
22406,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
22020,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
23224,1,1,3,1,4.0,2,2,500.0,1,1,1,0.6,1,24.0,3.75,9.578947368421053
9066,1,3,5,2,4.0,2,2,120.0,2,1,1,0.8,1,24.0,3.75,9.578947368421053
9093,1,1,5,4,4.0,2,2,150.0,2,1,1,0.8,1,24.0,3.75,9.578947368421053
22562,2,1,5,1,5.0,1,1,1500.0,1,1,2,0.1,1,24.0,3.75,9.578947368421053
22777,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
20887,1,1,1,1,4.0,3,3,450.0,1,1,1,1.2,1,24.0,3.75,9.578947368421053
22811,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
20170,4,9,5,4,5.0,2,2,300.0,1,1,3,0.0,1,24.0,3.75,9.578947368421053
22524,1,1,1,1,12.0,1,1,772.6867469879518,1,1,1,1.0,1,24.0,3.75,9.578947368421053
40983,2,1,1,1,2.0,3,3,772.6867469879518,1,1,1,1.0,1,24.0,3.75,9.578947368421053
21950,2,1,1,1,4.0,1,1,1500.0,1,1,1,0.5,1,24.0,3.75,9.578947368421053
23166,1,1,2,1,7.0,1,1,2000.0,1,1,1,0.6,1,24.0,3.75,9.578947368421053
22644,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
23263,1,7,6,4,5.0,3,3,340.0,3,1,2,0.4,1,24.0,3.75,9.578947368421053
22152,1,1,1,1,7.0,1,1,1500.0,1,1,2,0.2,1,24.0,3.75,9.578947368421053
23662,2,1,3,1,4.0,1,1,1000.0,1,1,1,0.6,1,24.0,3.75,9.578947368421053
23595,1,1,3,1,4.0,2,2,800.0,1,1,9,0.5158434,1,24.0,3.75,9.578947368421053
38656,1,1,3,1,3.0,1,1,1200.0,1,1,1,0.6,1,24.0,3.75,9.578947368421053
23251,1,1,5,4,1.0,3,3,200.0,1,1,1,0.8,1,24.0,3.75,9.578947368421053
22063,1,1,1,1,14.0,1,1,2500.0,1,1,3,0.0,1,24.0,3.75,9.578947368421053
8490,1,1,5,4,3.0,2,2,200.0,2,1,2,0.3,1,7.0,3.75,9.578947368421053
